Player,Start,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 1,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 2,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Group Stage: Game 3,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Quarter Finals,Quarter Finals,Quarter Finals,Quarter Finals,Quarter Finals,Quarter Finals,Quarter Finals,Quarter Finals,Quarter Finals,Semi Finals,Semi Finals,Semi Finals,Semi Finals,Third Place,Third Place,Third Place,Final: 1H,Final: 1H,Final: 2H,Final: 2H,Final: 1ET,Final: 2ET
Álvaro Morata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Bukayo Saka,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Cody Gakpo,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Enner Valencia,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Gonçalo Ramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Jack Grealish,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jude Bellingham,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Julián Álvarez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
Kylian Mbappé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,8
Lionel Messi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,7,7
